SOC,T_degC,V_Vsrc0_V,R_R0_Ohm,R_R1_Ohm,C_C1_F,R_R2_Ohm,C_C2_F
0.59,35,3.7775151776838,0.0142497223859293,0.00127603274557276,3919.90863089571,0.0116290765072621,3144.20355263128
0.58,35,3.76545231429994,0.0141935772797735,0.00121995884531297,4105.67194925514,0.0113003418243919,3235.98931691528
0.57,35,3.75363569855139,0.014149843319816,0.00114469748118305,4380.66679776198,0.0109182354179655,3327.59900116485
0.56,35,3.74219394520721,0.0141120847047222,0.00107102715060388,4680.35924414903,0.0105394275564191,3414.21474700906
0.55,35,3.73121990909748,0.014083804775537,0.000999880675574713,5019.22947497234,0.0101658521746017,3492.90861141031
0.54,35,3.7207656673611,0.0140579410658172,0.000936049624044913,5350.13652983518,0.00981702852941029,3561.29768237195
0.53,35,3.71084600736129,0.0140357845139799,0.000883442482543674,5668.82584084087,0.00950618098566605,3613.87631195052
0.52,35,3.70144475986787,0.0140129161965054,0.000845107299730289,5910.25343268238,0.00921699547575463,3663.23515795268
0.51,35,3.69252484213622,0.0139889913964188,0.00082795616318952,6037.00049120169,0.00895996319281855,3707.81483903695
0.5,35,3.68403656249375,0.0139782874028038,0.000791756217248842,6342.50645063562,0.00875496989127397,3730.53525751479
0.49,35,3.67592574247313,0.013986182243933,0.000728758688356696,6899.48778446199,0.00862318425805508,3722.50438909298
0.48,35,3.66813891078214,0.0139480893228411,0.000742707351641202,6831.7814562234,0.00849428670474922,3742.17075454764
0.47,35,3.66062639063711,0.013846070477543,0.000863616132388727,5895.71941313969,0.00836940376682591,3800.33804259542
0.46,35,3.65334146846992,0.0138376191288273,0.000882908020795379,5732.25363512067,0.00826370195871673,3815.26068741056
0.45,35,3.64624582697318,0.0139550695121688,0.000765467141742251,6608.37116867372,0.00818380972716588,3771.99458416622
0.44,35,3.63930701911854,0.0140371277543207,0.000691905898815004,7191.01161023366,0.00812236526451578,3744.50247772144
0.43,35,3.63249840250127,0.0140730804807239,0.000675506872878766,7391.33800601904,0.00808495280080659,3737.55923419989
0.42,35,3.62579808083212,0.014112961414526,0.000658810641027454,7592.49934900169,0.00805483462478045,3728.83746297029
0.41,35,3.61918829956199,0.014157697399712,0.000641747078777631,7794.6926414549,0.00803373179288307,3717.91752791343
0.4,35,3.61265467220841,0.014203851853109,0.000631034485791391,7922.5203410834,0.00801648573322872,3709.3580148401
0.39,35,3.60618560574138,0.0142517389751952,0.000628079645502079,7959.50995689334,0.00800395074743226,3703.68177347672
0.38,35,3.59977163981619,0.0143046478770344,0.000625850160218739,7987.50794977901,0.00799726599703054,3696.65761968141
0.37,35,3.59340493112782,0.0143634976351165,0.000624478783022045,8004.86869017472,0.00799750218087435,3688.03886110857
0.36,35,3.58707882119998,0.0144283044201778,0.000625703741732296,7989.32715420746,0.00800526283809623,3678.14159928847
0.35,35,3.58078733335878,0.0144999370064549,0.000629903686597774,7936.08486604035,0.00802164533968933,3666.77937700242
0.34,35,3.57452473227111,0.014579562736463,0.000635387275792801,7868.25708308435,0.00804885459806728,3650.94185340252
0.33,35,3.56828503946964,0.0146678830254968,0.000642267151826494,7784.56389727464,0.00808784068407272,3630.23631131825
0.32,35,3.56206147737136,0.0147601281829295,0.000662613718406924,7548.31868244422,0.00813947106528063,3609.89935858921
0.31,35,3.55584572101066,0.0148565931954359,0.000697439109919336,7148.0558781739,0.00820469606619036,3589.9586977871
0.3,35,3.54962703637002,0.0149745201914897,0.000737773470798853,6750.93872500968,0.0083074274493655,3558.56384512766
0.29,35,3.54339113845772,0.0151148006004463,0.000783845617594533,6357.09787843044,0.00844922305264936,3515.23904762
0.28,35,3.53711865757696,0.0152778138341099,0.000844257811156613,5921.96121097862,0.00864809420962878,3459.34056448357
0.27,35,3.53078321958685,0.0154637641328334,0.00091913888792547,5445.15770527539,0.0089045537088107,3390.75542893902
